Chromosome,Start,End,Type (NB or hNCC),Gene(s),TF(s),Number of NB cell lines,#cell lines with SE (group I),#cell lines with SE (group II),Median Score over 25 cell lines,"Median score, group I","Median score, group II","Median score, hNCC",FC Score Group I over Group II,Wilcoxon p-value (two sided test),Loadings to PC1,Loadings to PC2,Has 15% overlap with hNCC SEs,Pearson Corr. with gene expression
chr16,56775248,56913351,NB,MT1G|MT1E|MT2A|MT1X|MT1JP|MT1A|MT1M|NLRC5|MT1H|MT1L|MT3,,5,4,1,7578.541188,7564.927186,20660.97549,18797.34424,0.366145693,0.10075188,-0.500937876,-0.125283812,1,0.67|0.59|0.58|0.51|0.5|0.49|0.49|0.47|0.43|0.39|0.37
chr20,62460848,62569151,NCC,,,5,3,1,7577.895131,6843.793705,15939.67505,16434.45475,0.429355911,0.010526316,-0.47570674,-0.139619847,1,
chrX,117618048,117746451,NB,DOCK11,,4,0,1,7569.685016,6774.218033,18005.76023,4369.007524,0.37622505,0.02406015,-0.381810274,-0.09097255,0,0.43
chr2,202241598,202344901,NB,CASP10|CASP8|STRADB|MPP4|TRAK2,,6,2,2,7560.445091,7259.499437,20244.87216,10659.65597,0.358584602,0.003007519,-0.508454649,-0.188758089,0,0.6|0.59|0.53|0.48|0.47
chr19,39122548,39227401,NCC,CAPN12|ACTN4|FAM98C|SPRED3|MRPS12|SIRT2,,7,2,3,7558.36049,6751.870164,68428.77183,60318.3798,0.098670047,0.001503759,-0.688775999,-0.86619281,1,0.74|0.66|0.49|0.45|0.38|0.38
chr1,49754448,49958851,NB,BEND5|ELAVL4|AGBL4,,5,5,0,7556.642071,9800.505739,58.91541926,353.2450926,166.3487396,0.001503759,-0.078585904,1.989480422,0,0.86|0.82|0.54
chr4,108089298,108314251,NB,DKK2,,7,2,2,7556.4682,6775.977404,24329.98505,15851.58639,0.278503147,0.016541353,0.105437381,-1.031691687,0,0.7
chr10,123081448,123296401,NB,FGFR2|ATE1,,6,5,0,7554.888026,8918.058917,61.32624367,301.0767453,145.419944,0.001503759,0.432327143,3.245368629,0,0.72|0.39
chr6,147515798,147612551,NB,STXBP5|STXBP5-AS1,,8,4,2,7550.054385,6617.978781,15448.00693,9686.579778,0.428403406,0.046616541,-0.489249455,-0.134239866,0,0.65|0.55
chr19,45588748,45659051,NB,CEACAM16,,5,5,0,7547.11799,6239.006061,13166.84248,7699.710942,0.473842234,0.016541353,-0.384554796,0.001509993,0,0.39
chr5,66436848,66549151,NB,MAST4|CD180,,6,2,2,7546.625013,4716.281303,24196.3062,3329.29195,0.194917409,0.034586466,-0.114654385,-0.173148889,0,0.52|0.42
chr3,184282198,184331551,NB,EPHB3|POLR2H|MAGEF1,,13,12,0,7545.03085,8410.775769,1367.476025,2462.554662,6.150583715,0.001503759,-0.215237244,1.136044452,0,0.73|0.42|0.41
chr2,28804648,28918651,NCC,PLB1,,7,2,3,7538.711695,6472.99253,29080.80451,21354.00781,0.222586433,0.003007519,-0.378924114,-0.394375149,1,0.6
chr16,17356048,17510451,NB,XYLT1,,6,6,0,7536.058902,7875.147539,4814.935112,6795.668224,1.635566701,0.470676692,0.384425314,1.221705923,0,0.57
chr1,226295148,226323851,NB,H3F3A|PARP1,,12,11,0,7529.237175,7660.476679,4624.374354,3464.543109,1.656543371,0.356390977,-0.35452729,0.440200119,0,0.44|0.4
chr7,27667898,27849251,NB,HIBADH,,3,0,3,7525.39041,6674.642741,53565.92982,16550.00444,0.124606121,0.001503759,-0.42913571,-0.485509385,0,0.7
chr8,42325198,42411451,NCC,SLC20A2|SMIM19|RNF170,,3,2,1,7519.325409,7035.329356,22276.60405,32886.72022,0.315816959,0.016541353,-0.537900623,-0.332998159,1,0.61|0.55|0.49
chr11,74986648,75060372,NB,ARRB1|SNORD15B|GDPD5,,12,12,0,7517.870594,7876.725781,4686.480491,7154.518154,1.680733718,0.10075188,-0.477860275,0.730743049,0,0.72|0.51|0.47
chr13,80878698,80946351,NB,SPRY2|NDFIP2,,3,1,0,7513.341815,6076.685008,12619.6304,8885.828484,0.481526385,0.016541353,-0.31554679,-0.272842892,0,0.77|0.41
chr1,37164498,37360401,NB,GRIK3,,6,6,0,7512.359142,13000.197,336.6047013,207.0854145,38.62155503,0.001503759,0.05110032,2.601708248,0,0.72
chr2,129119348,129216301,NB,HS6ST1,,10,10,0,7506.520979,8572.417464,5889.062131,4864.759577,1.455650709,0.10075188,-0.316171603,0.689211268,0,0.39
chr20,49506598,49578051,NCC,,,1,0,1,7505.23766,7012.072113,15269.48675,14312.78057,0.459221206,0.010526316,-0.449314975,-0.164597211,1,
chr6,26529098,26577851,NB,BTN3A2|HMGN4|BTN2A3P|BTN3A3|BTN3A1,,4,2,1,7503.083004,7025.532983,15395.41478,11390.04204,0.456339312,0.006015038,-0.403677529,-0.089557461,1,0.56|0.54|0.54|0.52|0.39
chr13,113347140,113563901,NB,ATP11A,,3,3,0,7502.188425,9790.220748,7486.581209,5330.758264,1.307702471,0.184962406,-0.285282737,0.706119005,0,0.89
chr17,25772098,25937101,NB,,,3,2,0,7502.06777,7773.273202,3095.727656,20264.94804,2.510968039,0.046616541,-0.545285295,0.342331706,1,
chr20,1299898,1416151,NCC,FKBP1A|SNPH|RAD21L1,,6,1,2,7494.33598,5578.188123,34038.72967,25467.50386,0.163877682,0.001503759,-0.485017333,-0.634210417,1,0.72|0.56|0.43
chr6,88338748,88442051,NB,CGA,,5,1,2,7490.620338,6800.054937,18971.71827,16106.58454,0.358431157,0.001503759,-0.407346983,-0.313066294,1,0.48
chr13,51429598,51493551,NB,RNASEH2B|DLEU2|DLEU1|GUCY1B2,,10,10,0,7489.41874,8552.10226,6643.599128,2413.153835,1.28726946,0.12481203,-0.325800483,0.528761866,0,0.74|0.64|0.47|0.41
chr9,138332798,138444701,NB,PPP1R26-AS1|COL5A1,,3,0,1,7488.508469,6663.419813,23474.36077,9608.298401,0.283859479,0.006015038,-0.376247374,-0.324211498,0,0.66|0.52
chrX,83372498,83531051,NB,RPS6KA6,,6,6,0,7485.322168,7634.149584,12014.19201,4768.08672,0.635427632,0.739849624,-0.28798512,0.390240336,0,0.59
chr10,65271798,65317201,NCC,JMJD1C-AS1,,13,9,2,7482.940668,7908.258851,10446.89589,12741.37848,0.756996043,0.221052632,-0.414745363,0.016772025,1,0.39
chr19,39124398,39226101,NB,CAPN12|ACTN4|FAM98C|SPRED3|SIRT2|MRPS12,,7,2,3,7481.802452,6484.996524,68219.51637,59785.9139,0.095060723,0.001503759,-0.674571819,-0.871950093,1,0.74|0.66|0.48|0.44|0.38|0.38
chr9,37412748,37473851,NCC,,,5,3,2,7481.053091,7215.818718,21086.91934,13170.11836,0.342194068,0.003007519,-0.466117816,-0.213927897,1,
chr22,19822998,19909201,NB,COMT,,4,1,3,7480.90536,6166.329076,31338.87655,12938.15741,0.196762927,0.003007519,-0.476618797,-0.292079947,0,0.41
chr1,225918948,225970301,NB,TMEM63A|ENAH|SDE2,,6,4,0,7480.428332,5805.924738,11140.0586,12008.68311,0.521175421,0.261654135,-0.301856444,-0.071775314,1,0.57|0.55|0.41
chr5,150403848,150511451,NCC,TNIP1|NDST1|CCDC69|GM2A|ANXA6,,3,0,2,7480.209347,6753.479412,25607.07651,40519.58431,0.263734886,0.001503759,-0.49913699,-0.543008275,1,0.66|0.63|0.62|0.62|0.39
chr7,16615248,16764851,NB,ANKMY2,,5,3,2,7479.13143,7030.150632,28124.22727,21697.89747,0.249967779,0.046616541,-0.536333025,-0.236985644,1,0.65
chrX,46391798,46656101,NB,CHST7|SLC9A7|ZNF674,ZNF674,2,0,2,7477.555766,6878.738157,72657.34004,22908.56174,0.094673685,0.001503759,-0.55519953,-0.548525694,0,0.78|0.74|0.56
chr4,123744348,123852551,NCC,NUDT6|FGF2|BBS12,,3,0,2,7477.442869,7382.760258,22043.67406,40818.30232,0.334915143,0.001503759,-0.433035654,-0.520157493,1,0.72|0.6|0.37
chr6,151168248,151256701,NCC,,,6,0,3,7476.409365,6436.059286,28383.14174,26742.40346,0.226756409,0.003007519,-0.46098051,-0.425229184,1,
chr10,87913898,88029801,NB,GRID1|GRID1-AS1,,12,12,0,7474.926443,9091.071251,0,4.255555093,Inf,0.007716814,0.514284275,4.084817219,0,0.88|0.39
chr6,3983248,4064101,NB,PXDC1|RIPK1|PSMG4,,6,2,2,7473.958965,6962.275225,22013.50379,19688.02615,0.316272925,0.001503759,-0.415240332,-0.345094516,1,0.7|0.52|0.38
chr1,94265548,94314951,NB,BCAR3,,7,2,3,7471.850664,6129.575638,53502.84422,16472.40319,0.114565417,0.003007519,-0.521280372,-0.514006088,1,0.63
chr6,2952898,2992201,NCC,SERPINB6|NQO2|RIPK1|MYLK4|LINC01011|SERPINB9P1,,2,0,2,7469.971956,5627.421052,17816.2951,11240.59969,0.315858096,0.006015038,-0.310093229,-0.285743376,1,0.72|0.65|0.55|0.41|0.38|0.37
chr20,25202048,25237751,NCC,ENTPD6,,6,5,1,7469.335458,6748.09497,17501.79434,12387.67564,0.385565893,0.010526316,-0.296955125,-0.13580081,1,0.49
chr11,45982898,46140484,NB,,,2,2,0,7466.924655,7735.207778,15959.02252,5848.294326,0.484691827,0.306766917,-0.438813793,0.165548067,0,
chr12,50548448,50619101,NCC,LIMA1|COX14,,5,1,3,7464.737182,7303.713121,35904.87776,25597.4542,0.203418409,0.001503759,-0.496267374,-0.530935814,1,0.61|0.41
chr9,130999348,131092001,NB,CERCAM|SWI5,,3,1,2,7463.244495,6866.857395,23655.30691,13274.59908,0.290288239,0.003007519,-0.449551944,-0.229897709,0,0.68|0.59
chr1,33105048,33196101,NCC,SYNC|ZBTB8OS,,5,2,1,7457.326895,6903.377088,13941.12626,21061.60704,0.495180731,0.006015038,-0.422255074,-0.240104685,1,0.55|0.38
chr1,99359298,99493501,NB,PLPPR5|PLPPR4,,7,7,0,7457.31167,10852.76456,2391.305728,3519.605874,4.538426198,0.016541353,-0.327884265,1.307705259,0,0.73|0.67
chr3,14435148,14530051,NB,,,8,3,2,7456.485488,6844.712561,21139.208,25333.32725,0.32379229,0.010526316,-0.633158115,-0.346952624,1,
chr13,31364698,31483301,NB,MEDAG|TEX26-AS1,,5,2,2,7450.019106,6359.553022,22497.70967,37146.5898,0.282675575,0.003007519,-0.436186558,-0.276315476,1,0.44|0.37
chr9,29146698,29218551,NB,LINGO2,,4,4,0,7447.730308,6649.356835,7517.680967,4146.256233,0.884495746,0.813533835,-0.055039052,0.429079928,0,0.69
chr3,124476398,124620801,NB,ITGB5,,7,2,2,7447.652507,6011.817604,35412.6731,21452.46356,0.169764581,0.016541353,0.095741608,-0.987282998,0,0.75
chr14,67684598,67854451,NB,FAM71D|MPP5|TMEM229B|VTI1B|ZFYVE26|ATP6V1D|PLEK2,,3,0,3,7444.102225,7370.264679,42302.56131,25397.74588,0.174227386,0.001503759,-0.480479659,-0.536508168,1,0.78|0.72|0.58|0.53|0.5|0.48|0.43
chr4,2237498,2306351,NB,CFAP99,,4,3,0,7442.732704,7274.129998,7442.732704,5557.737696,0.977346667,0.533834586,-0.400146431,0.208031251,0,0.39
chr6,146120448,146185051,NB,,,6,6,0,7437.74389,7643.662667,10303.73108,5871.89892,0.741834449,0.6,-0.376061905,0.276735592,0,
chr1,117366048,117432451,NB,PTGFRN|CD101,,7,6,0,7437.321891,9086.722623,2587.078568,21753.69577,3.512348923,0.261654135,-0.419943711,0.267464939,1,0.42|0.39
chr2,69740848,69880401,NB,ANXA4|AAK1,,2,0,1,7436.002989,6846.46067,28796.51986,18190.78181,0.237753058,0.010526316,-0.450777105,-0.317538577,0,0.7|0.55
chr9,114963398,115123751,NB,,,3,1,2,7426.871444,6708.628734,25641.27779,16789.28537,0.261633948,0.010526316,-0.44872727,-0.263216981,0,
chr3,139237048,139297001,NB,RBP1,,5,4,0,7426.825154,8144.940525,3733.544025,2626.780901,2.181557381,0.739849624,-0.292695178,0.4908,0,0.72
chr1,225922548,225971301,NCC,TMEM63A|ENAH|SDE2,,6,4,0,7426.099791,5743.857269,11083.38778,12072.35454,0.518240215,0.261654135,-0.295903532,-0.077652208,1,0.58|0.55|0.41
chr19,49460614,49503101,NCC,KCNA7|GYS1|CGB8|LHB|CGB3|FTL,,1,0,1,7425.790857,6453.526469,18457.32335,14243.97794,0.349645848,0.003007519,-0.308962099,-0.264025891,1,0.52|0.48|0.44|0.41|0.4|0.39
chr21,46704898,46808301,NB,COL18A1|COL18A1-AS1|POFUT2|SSR4P1|ADARB1,,5,2,1,7420.425077,6755.541623,19899.09431,33135.59406,0.339489904,0.016541353,-0.494400441,-0.410317039,1,0.78|0.58|0.57|0.38|0.38
chr11,6589248,6638191,NB,SMPD1|MRPL17|GVINP1|TPP1|ILK,,3,0,2,7418.159562,6812.492688,19094.55566,14976.13782,0.356776707,0.006015038,-0.466911911,-0.218854447,0,0.56|0.51|0.49|0.49|0.38
chr5,150402496,150503651,NB,TNIP1|NDST1|CCDC69|GM2A|ANXA6,,3,0,2,7415.631966,6609.308067,25682.05143,39631.39696,0.257351251,0.001503759,-0.483905159,-0.547711361,1,0.66|0.63|0.62|0.62|0.39
chr3,123342028,123600648,NCC,MYLK,,5,0,3,7412.415515,5297.464563,72091.16901,85407.57197,0.07348285,0.001503759,-0.254850698,-1.361353976,1,0.69
chr6,13586748,13709295,NB,GFOD1,,3,1,1,7410.852801,6199.380219,15364.57806,10064.72634,0.403485224,0.010526316,-0.370296629,-0.128522133,0,0.38
chr2,153527598,153617701,NB,STAM2,,3,1,2,7409.093311,6770.425592,20969.36066,13382.6101,0.322872295,0.003007519,-0.384834498,-0.182040546,0,0.42
chr15,99189898,99233251,NCC,IGF1R,,11,8,2,7406.353102,6029.144382,26381.64606,12809.03545,0.228535565,0.10075188,-0.494067491,-0.174770557,1,0.48
chr6,139689348,139790451,NB,CITED2,,2,0,1,7402.678653,7095.318844,8551.803535,22102.40129,0.829686839,0.10075188,-0.301768448,-0.21869572,1,0.62
chr8,110547348,110663951,NB,SYBU,,3,2,0,7390.044786,7486.59594,6096.350113,6736.61317,1.228045601,0.669172932,-0.420067352,0.256991735,0,0.64
chr3,167737098,167819701,NB,,,6,3,2,7388.741061,6701.878576,28898.54447,11043.71555,0.231910593,0.006015038,-0.463598049,-0.35306074,0,
chr9,127413548,127484001,NCC,MIR181A2HG|OLFML2A,,7,3,3,7388.67802,6181.882639,28411.12549,27797.86368,0.217586686,0.001503759,-0.303437274,-0.587657651,1,0.69|0.58
chr5,107190598,107425751,NB,,,3,3,0,7386.221722,7527.913364,7367.122591,4450.792287,1.021825451,0.533834586,-0.353445731,0.445710662,0,
chr7,28942348,29060601,NB,CHN2|TRIL|CPVL,,7,7,0,7386.089526,10693.61375,2132.839752,2116.382292,5.013791469,0.006015038,-0.273342394,0.887586758,0,0.62|0.61|0.57
chr2,28609298,28678401,NCC,FOSL2,FOSL2,9,3,3,7381.353173,6058.316057,33224.4823,33744.12313,0.182344935,0.001503759,-0.458055912,-0.599380304,1,0.75
chr6,16892648,17058251,NB,GMPR,,4,2,0,7377.671836,7102.638018,5599.826444,12071.36245,1.268367527,0.6,-0.121242231,-0.027699335,0,0.47
chr22,19157048,19195801,NB,,,4,3,0,7376.48603,6598.763687,13466.46295,8314.58736,0.490014617,0.016541353,-0.385432262,-0.012701521,0,
chr10,16985998,17131201,NCC,VIM|CUBN|VIM-AS1,,7,1,3,7374.005488,4348.676317,77061.88894,38443.45956,0.056430959,0.001503759,-0.296635403,-1.087447001,1,0.77|0.63|0.47
chr10,70322614,70445251,NB,,,3,2,1,7370.652443,6161.832571,21150.4606,8124.937611,0.291333257,0.001503759,-0.344191845,-0.174122609,0,
chr2,88890798,88971301,NB,,,5,4,0,7368.13912,6478.407822,18081.35907,9679.506126,0.358292084,0.034586466,-0.357301448,-0.108027122,0,
chr7,134369748,134650001,NB,CALD1,,4,0,2,7367.327975,5710.213069,52956.45295,72793.25858,0.107828466,0.003007519,-0.558367451,-0.878512455,1,0.75
chr2,68253798,68287658,NB,,,12,7,1,7367.11019,6881.723715,3990.647636,6527.750699,1.72446288,1,-0.245527654,0.029176179,0,
chr6,26533148,26578001,NCC,BTN3A2|BTN2A3P|HMGN4|BTN3A3|BTN3A1,,4,2,1,7367.107602,6834.829866,15271.56931,11333.31258,0.447552555,0.006015038,-0.391088074,-0.091521399,1,0.56|0.55|0.54|0.52|0.39
chr20,30912398,30985551,NCC,POFUT1,,9,6,3,7366.623773,6172.447793,23644.4121,13460.63928,0.26105313,0.003007519,-0.408586334,-0.274497903,1,0.54
chr2,191279748,191355301,NB,NAB1|MFSD6,,10,9,0,7365.631647,7589.800587,4781.482191,729.377315,1.587332188,0.669172932,-0.20225726,0.657249345,0,0.6|0.54
chr2,73276998,73345301,NCC,RAB11FIP5,,3,0,3,7364.440187,6207.472276,36656.94438,21135.72535,0.169339599,0.003007519,-0.430171286,-0.388620616,1,0.76
chr13,27583198,27787051,NB,,,5,0,3,7359.291706,4963.077611,40734.86092,17439.37564,0.12183858,0.001503759,-0.446479816,-0.555494705,0,
chr12,20576048,20782201,NB,PDE3A,,6,4,1,7353.71377,7254.593881,8500.909301,8836.336273,0.85339034,0.962406015,-0.51684236,0.463746442,0,0.64
chr9,131311848,131399001,NCC,CERCAM|SWI5|GOLGA2|SPTAN1,,3,2,1,7353.392433,6349.034207,23972.22591,17000.44009,0.26484959,0.003007519,-0.464707167,-0.248294988,1,0.67|0.5|0.44|0.4
chr15,99640348,99695101,NB,SYNM,,4,3,0,7351.465021,6468.417928,7351.465021,3222.284479,0.879881481,0.739849624,-0.238299968,0.259430706,0,0.52
chr17,60687148,60749651,NB,MRC2,,4,1,1,7350.077279,6083.672209,13650.22852,10945.82344,0.44568281,0.010526316,-0.321107777,-0.162895825,1,0.69
chr5,135268503,135412551,NB,TGFBI|LECT2,,10,4,2,7348.318723,4819.982013,43886.80923,51396.66491,0.109827579,0.003007519,-0.335369139,-0.904141529,1,0.67|0.42
chr17,62226196,62338152,NB,,,4,3,0,7345.315244,6757.357911,19372.64673,10463.18017,0.348809226,0.034586466,-0.148637378,-0.301919039,0,
chr7,123314048,123400601,NB,,,4,2,2,7344.706089,6528.849414,26427.60082,9285.641729,0.247046618,0.003007519,-0.390675601,-0.212865313,0,
chr11,109935798,110048051,NB,,,2,0,1,7342.356773,6964.649853,11149.28058,16352.63092,0.624672579,0.221052632,-0.449343151,-0.023171296,0,
chr11,27671298,27738793,NCC,BDNF|METTL15,,7,6,1,7339.158813,7008.25478,21287.60477,14887.81038,0.32921763,0.061654135,-0.136534274,-0.210594569,1,0.71|0.44
chr5,81119548,81164401,NB,SSBP2,,9,8,0,7336.788767,7080.987105,5360.749006,2925.54472,1.320895102,0.887218045,-0.391803837,0.44071081,0,0.6
chr6,80487048,80544601,NB,LINC01621|HMGN3,,10,10,0,7327.458903,10702.58655,255.6857744,213.4535646,41.85835748,0.001503759,0.008359434,2.013560689,0,0.54|0.51
chr1,77829648,77940251,NCC,AK5,,13,8,2,7327.127147,5884.169444,22075.75344,14958.29037,0.266544445,0.061654135,-0.323612299,-0.337318587,1,0.45
chr9,33452548,33568751,NB,SUGT1P1,,3,0,3,7326.381101,7028.114144,35184.5,16878.30713,0.199750292,0.001503759,-0.459302711,-0.365546413,1,0.42
chr3,128882571,128972701,NB,RAB43,,5,0,3,7321.6915,6493.59824,37119.79423,19834.30202,0.174936267,0.001503759,-0.499507284,-0.520505309,0,0.75
chr4,73161448,73339451,NB,ADAMTS3,,7,5,0,7319.544212,6105.10577,7319.544212,9831.073006,0.834082778,0.669172932,-0.241652882,0.238723179,0,0.77
chr6,52353798,52439361,NCC,TRAM2|TRAM2-AS1,,9,2,3,7316.793636,4879.710601,66090.69067,57166.0856,0.073833554,0.001503759,-0.443839682,-0.920542297,1,0.9|0.37
chr2,139250198,139308451,NB,,,4,3,0,7315.967916,6262.808879,8287.959476,4348.466826,0.755651484,0.412030075,-0.182140207,0.17683625,0,
chr7,136319998,136424901,NB,CHRM2|MIR490,,9,8,0,7315.14552,8171.383077,209.7519274,4599.844424,38.95736826,0.001503759,-0.095202009,1.245049638,0,0.66|0.46
chr1,45246648,45286551,NCC,BTBD19|TCTEX1D4|PLK3,,8,2,3,7312.880805,6524.83295,30659.97281,18777.56773,0.212812744,0.001503759,-0.557675155,-0.372453988,1,0.64|0.6|0.6
chr1,150531198,150555551,NCC,ECM1|ADAMTSL4|CERS2|ANXA9|CTSS,,4,0,3,7312.456965,6515.397532,28426.23725,20007.82874,0.229203657,0.001503759,-0.461165759,-0.430709313,1,0.89|0.65|0.44|0.43|0.38
chr1,65774348,65907251,NB,LEPROT|AK4|JAK1,,3,1,2,7310.51362,6903.301673,29173.91629,16893.74069,0.236625813,0.003007519,-0.48448712,-0.307775226,1,0.47|0.45|0.38
chr19,768348,810851,NB,,,7,4,1,7306.247814,6826.959816,9874.172795,7575.110567,0.691395619,0.10075188,-0.418281201,0.124197657,0,
chr11,12134635,12311101,NCC,MICAL2|DKK3|MICALCL,,13,7,3,7305.83217,5064.18908,122406.6439,82358.35027,0.041371848,0.001503759,-0.540957467,-1.182341899,1,0.83|0.45|0.44
chr15,78596648,78715151,NB,CRABP1,,3,3,0,7304.451327,7992.736928,5542.59806,4322.580264,1.442056025,0.261654135,-0.206862039,0.423093963,0,0.48
chr6,136900248,137111155,NB,MAP3K5,,3,0,2,7299.583601,5172.17789,41899.39252,15632.21352,0.123442789,0.001503759,-0.244475839,-0.594870078,0,0.62
chr21,45119898,45192551,NB,PDXK|CSTB,,2,0,2,7297.993246,7172.815209,18486.30814,9972.671891,0.388006905,0.006015038,-0.436485399,-0.11377641,0,0.6|0.4
chr13,80197648,80265151,NB,SPRY2,,12,8,0,7295.75044,7592.064803,1148.411686,885.6043492,6.610926115,0.061654135,0.021871525,0.764721796,0,0.72
chr17,17375398,17471001,NB,,,4,3,0,7287.529346,7699.357778,4085.60869,3616.48338,1.884506903,0.016541353,-0.340437754,0.558399382,0,
chr15,50642248,50658001,NB,,,2,2,0,7287.406453,6493.105082,13153.62817,8602.061317,0.493636052,0.016541353,-0.423504992,-0.030080268,0,
chr17,59048648,59161051,NB,TBX2|TBX2-AS1|C17orf82,TBX2,5,4,0,7287.247185,6308.46954,12334.21294,991.3461367,0.511461053,0.533834586,-0.199846218,0.382027891,0,0.76|0.59|0.54
chr3,170403448,170491051,NB,,,10,3,3,7278.821592,4576.740011,88993.35286,44950.74643,0.051427886,0.001503759,-0.321850498,-1.048429452,1,
chr11,34170898,34403051,NB,ABTB2,,5,3,1,7274.498154,6810.693377,30495.2078,19965.35411,0.223336513,0.010526316,-0.39617451,-0.296030933,0,0.78
chr5,57911498,58168351,NB,RAB3C,,7,7,0,7272.699877,9446.910915,310.0339286,0,30.47057126,0.001503759,-0.085582787,2.906193725,0,0.83
chr11,116202948,116388951,NB,CADM1|LINC00900,,11,11,0,7269.880651,17722.17979,233.5015474,723.8813729,75.8974833,0.001503759,-0.104963824,2.197729623,0,0.55|0.39
chr9,33452598,33561151,NCC,SUGT1P1,,3,0,3,7265.472463,6802.897237,33848.24047,16656.95627,0.200982301,0.001503759,-0.444652846,-0.363749135,1,0.43
chr16,64371098,64543301,NB,CDH11,,7,4,1,7263.69001,7383.274618,7263.69001,13752.68896,1.016463341,0.412030075,-0.336099712,-0.16566615,0,0.38
chr6,90833798,90974801,NB,BACH2,BACH2,7,5,0,7261.372868,7849.711564,782.618343,6715.755035,10.03006336,0.003007519,-0.305801553,0.803764581,0,0.66
chr20,56803048,56888701,NCC,PPP4R1L,,8,5,2,7260.227357,5621.933168,9625.866884,13987.3326,0.58404435,0.12481203,-0.315273925,-0.050832945,1,0.53
chr9,86576698,86602601,NCC,SLC28A3,,9,6,1,7260.089323,6480.724681,13472.79062,10362.41869,0.481023187,0.006015038,-0.365517353,-0.081069728,1,0.6
chr1,151143248,151244301,NB,GABPB2,,3,0,3,7259.671977,6364.030705,26409.32147,20565.82958,0.240976684,0.001503759,-0.418420151,-0.393761073,1,0.53
chr9,6864448,7018801,NB,,,4,3,1,7255.457575,7142.432172,12753.13202,6569.882201,0.560053182,0.153383459,-0.414924157,0.122277342,0,
chr15,52298098,52441151,NCC,TMOD3,,4,0,2,7251.52144,6110.3472,29758.39916,27317.16057,0.205331852,0.001503759,-0.459294106,-0.583382147,1,0.53
chr7,93852148,94079201,NB,COL1A2,,7,3,3,7245.663821,6562.840319,85287.92576,45408.0547,0.076949231,0.003007519,-0.191362756,-1.100557709,1,0.4
chr12,115985698,116097951,NB,TBX3,TBX3,8,8,0,7244.950191,9382.407853,5.553512754,702.9969961,1689.454633,0.001503759,0.173859887,2.36964258,0,0.71
chr21,47390048,47427101,NB,COL6A1,,9,6,1,7243.775608,7181.465009,4800.819331,7750.916159,1.495883206,0.356390977,-0.412416546,0.386649974,0,0.58
chr14,59865298,59968751,NB,L3HYPDH|GPR135,,3,0,3,7243.607796,5944.698607,26270.87452,17569.35332,0.226284763,0.001503759,-0.404999663,-0.361087072,1,0.78|0.48
chr10,111720248,111758601,NCC,ADD3|ADD3-AS1|XPNPEP1,,11,7,1,7243.255107,6986.575158,9515.967903,11287.62062,0.734194906,0.739849624,-0.221436465,0.056512145,1,0.6|0.57|0.48
chr9,73017948,73055451,NCC,KLF9,KLF9,11,8,2,7237.521232,6390.447007,19928.78817,17069.05285,0.320664104,0.003007519,-0.157123664,-0.431337816,1,0.38
chr7,11015996,11149251,NB,,,3,3,0,7237.35533,7263.261623,10262.9161,3376.809658,0.707719088,0.669172932,-0.209513206,0.34564872,0,
chr16,31462848,31499851,NCC,HSD3B7|PRSS53|TGFB1I1|STX4|VKORC1|BCKDK|ORAI3|SLC5A2|ITGAX|FRG2KP|ZNF720,,0,0,0,7234.38372,6195.928564,14829.40764,15542.20158,0.417813625,0.010526316,-0.362920853,-0.187980849,1,0.69|0.61|0.58|0.55|0.51|0.45|0.44|0.41|0.4|0.39|0.37
chr2,46846822,47009401,NB,LINC01119|LINC01118|SOCS5|MCFD2|RHOQ|PIGF,,6,0,3,7231.205617,5844.137717,54347.27296,24037.03341,0.107533228,0.001503759,-0.46158234,-0.64809162,1,0.69|0.64|0.6|0.59|0.44|0.4
chr13,91728948,91846951,NB,LINC00379,,9,8,0,7229.925082,7768.640202,451.7437968,3073.764673,17.19700471,0.010526316,-0.192591266,1.059078569,0,0.61
chr1,60131598,60243101,NB,LINC01135,,6,3,2,7228.719524,5729.777653,19820.86583,15612.64414,0.289078071,0.003007519,-0.355330888,-0.421125296,0,0.51
chr3,194868698,194945001,NCC,,,17,12,2,7227.74805,6162.346921,13289.07517,22348.07836,0.463715258,0.061654135,-0.442661185,-0.089526766,1,
chr7,101891948,101954301,NB,SH2B2|PRKRIP1|COL26A1,,5,5,0,7222.983102,7409.276681,3559.844489,2651.331444,2.081348414,0.184962406,-0.314648166,0.548813627,0,0.6|0.45|0.42
chr9,73011598,73049701,NB,KLF9,KLF9,11,8,2,7221.994521,6521.982201,16615.09745,14951.51192,0.392533491,0.010526316,-0.15954768,-0.350589278,1,0.42
chr21,32865898,32934401,NB,TIAM1,,3,3,0,7211.461115,7600.30609,7211.461115,3367.405174,1.053920415,0.669172932,-0.243281226,0.795255424,0,0.83
chr9,2523998,2677051,NB,VLDLR|SMARCA2,,3,3,0,7211.260302,7404.167176,12669.32151,6848.454531,0.584417024,0.261654135,-0.371628804,0.241503931,0,0.6|0.39
chr3,160112348,160165125,NB,,,7,3,2,7211.245118,6312.838158,19610.21297,9468.020124,0.321915839,0.003007519,-0.378526727,-0.209358743,0,
chr6,113194898,113507351,NB,,,4,0,3,7210.310951,5034.827443,76296.68867,24787.68969,0.065990117,0.001503759,-0.392457833,-0.975706715,0,
